t1,ch1,t2,ch2
239,1.261696148,239,0.999190235
240,1.261696148,240,1.004175282
241,1.26667448,241,1.004175282
242,1.261696148,242,1.009160328
243,1.241782818,243,0.999190235
244,1.241782818,244,0.999190235
245,1.261696148,245,1.009160328
246,1.236804485,246,0.999190235
247,1.271652813,247,1.004175282
248,1.261696148,248,1.014145374
249,1.271652813,249,1.014145374
250,1.24676115,250,1.014145374
251,1.281609478,251,1.019130421
252,1.256717815,252,1.014145374
253,1.271652813,253,1.019130421
254,1.256717815,254,1.009160328
255,1.271652813,255,1.014145374
256,1.276631145,256,1.024115467
257,1.276631145,257,1.024115467
258,1.286587811,258,1.029100513
259,1.276631145,259,1.019130421
260,1.281609478,260,1.019130421
261,1.286587811,261,1.019130421
262,1.286587811,262,1.03408556
263,1.276631145,263,1.019130421
264,1.281609478,264,1.019130421
265,1.286587811,265,1.029100513
266,1.296544476,266,1.039070606
267,1.291566143,267,1.029100513
268,1.281609478,268,1.024115467
269,1.281609478,269,1.024115467
270,1.301522808,270,1.039070606
271,1.291566143,271,1.039070606
272,1.286587811,272,1.024115467
273,1.291566143,273,1.03408556
274,1.296544476,274,1.039070606
275,1.291566143,275,1.03408556
276,1.281609478,276,1.03408556
277,1.291566143,277,1.03408556
278,1.286587811,278,1.039070606
279,1.296544476,279,1.039070606
280,1.286587811,280,1.044055653
281,1.286587811,281,1.03408556
282,1.301522808,282,1.044055653
283,1.291566143,283,1.029100513
284,1.286587811,284,1.044055653
285,1.301522808,285,1.044055653
286,1.296544476,286,1.044055653
287,1.301522808,287,1.044055653
288,1.291566143,288,1.044055653
289,1.301522808,289,1.049040699
290,1.296544476,290,1.039070606
291,1.296544476,291,1.044055653
292,1.286587811,292,1.049040699
293,1.301522808,293,1.054025745
294,1.296544476,294,1.054025745
295,1.296544476,295,1.039070606
296,1.286587811,296,1.044055653
297,1.301522808,297,1.059010792
298,1.296544476,298,1.054025745
299,1.291566143,299,1.054025745
300,1.311479473,300,1.054025745
301,1.301522808,301,1.063995838
302,1.306501141,302,1.059010792
303,1.311479473,303,1.059010792
304,1.301522808,304,1.063995838
305,1.306501141,305,1.068980885
306,1.301522808,306,1.063995838
307,1.311479473,307,1.068980885
